TITLE,DIRECTOR
180,Jayendra
A View to a Kill,John Glen
Bedazzled,Harold Ramis
Bicentennial Man,Chris Columbus
Boys and Girls,Robert Iscove
Class Action,Michael Apted
Dawn of the Planet of the Apes,Matt Reeves
Final Analysis,Phil Joanou
Foul Play,Colin Higgins
Invasion of the Body Snatchers,Philip Kaufman
Jagged Edge,Richard Marquand
Knife Fight,Bill Guttentag
Magnum Force,Ted Post
Milk,Gus Van Sant
San Francisco,W.S. Van Dyke
"Smile Again, Jenny Lee",Carlo Caldana
The Enforcer,James Fargo
The Right Stuff,Philip Kaufman
The Rock,Michael Bay
The Wedding Planner,Adam Shankman
Tucker: The Man and His Dream,Francis Ford Coppola
When We Rise,Gus Van Sant
