FUN_FACTS,LOCATIONS
,Epic Roasthouse (399 Embarcadero)
,Mason & California Streets (Nob Hill)
,Justin Herman Plaza
,200 block Market Street
,City Hall
,Polk & Larkin Streets
,Randall Museum
,555 Market St.
,
"Established in 1867, Buena Vista Park is the oldest official park in San Francisco.","The Walden House, Buena Vista Park"
"Francis Ford Coppola allegedly wrote large portions of ""The Godfather"" trilogy in Café Trieste.",Café Trieste (609 Vallejo)
,
,Rainforest Café (145 Jefferson Street)
,Broderick from Fulton to McAlister
,Crissy Field
,Powell from Bush and Sutter
"The Tower was funded by a gift bequeathed by Lillie Hitchcock Coit, a socialite who reportedly liked to chase fires. Though the tower resembles a firehose nozzle, it was not designed this way.",Coit Tower
,Pier 50- end of the pier
,California @ Montgomery
,Montgomery/Green
,Driving various SF Streets
,Plate Shots SF streets various
,20th and Folsom Streets
"During San Francisco's Gold Rush era, the Park was part of an area designated as the ""Great Sand Waste"".",Golden Gate Park
,Filbert St. from Jones to Mason
,Leavenworth from Filbert & Francisco St
,Chestnut St. from Larkin to Columbus
,Francisco St from Larkin to Polk
,Broadway from Mason to Taylor
,Taylor St. from Broadway to Filbert
"In 1887, the Cliff House was severely damaged when the schooner Parallel, abandoned and loaded with dynamite, ran aground on the rocks below.",Cliff House (1090 Point Lobos Avenue)
,San Francisco Bay
"In 1945 the Fairmont hosted the United Nations Conference on International Organization as delegates arrived to draft a charter for the organization. The U.S. Secretary of State, Edward Stettinius drafted the charter in the hotel's Garden Room.","Fairmont Hotel (950 Mason Street, Nob Hill)"
,Embarcadero near Pier 14
,Palace of Fine Arts
,543 Connecticut
,Connecticut at 19th St
,Pennsylvania at 23rd St
Called the Shubert Theatre in the film.,Curran Theater (445 Geary Street)
,Golden Gate Music Concourse
,de Young Museum/Golden Gate Park
,Heart of the City Farmers Market at UN Plaza
,Palace of Fine Arts (3301 Lyon Street)
,717 Grant Ave
,Kearny btwn Columbus and Washington
,"Fort Point (Presidio, Golden Gate National Recreation Area)"
,California Cable Car Line
,Haight St at Masonic
,"Trax Bar, Haight St"
,Pier 7
,Pier 45 - Musee Mechanique
,19th Ave Home
,22nd Ave Home
"When Sasha, Keanu, Jenny and Marcus go for dinner together, the restaurant (known in the film as ""maximal"") is actually San Francisco's Contemporary Jewish Museum.",Contemporary Jewish Museum
Keanu Reeves' penthouse suite scenes were filmed at San Francisco's Fairmont Hotel.,Fairmont Hotel - Penthouse Suite
,26th Ave and El Camino Del mar
,St. Francis Episcopal Church (399 San Fernando Way)
,Romolo Place @ Fresno St.
,Palace of Fine Arts
,John Shelley Drive John McLaren Park
,Treasure Island
,The San Francisco School (300 Gavin St.)
,33 Spruce St
,Coi Restaurant (373 Broadway)
,Foreign Cinema (2534 Mission)
,Bernal Heights Park
,Jackson St. at Spruce
,679 Madrid St
,Roxie Theater (3117 16th St.)
,Variety Preview Room (582 Market St.)
,Laguna Honda Hospital; 375 Laguna Honda Blvd.
,3232 Jackson Ave.
,20th St and Illinois/Faxon St. and Kenwood/Glenbrook at Mt. Springs
This restaurant location was demolished; however another Mel's was reopened in 1986 on 3355 Geary Blvd.,"Mel's Drive-In (Corner of Van Ness & Mission Street, Mission District)"
,3355 Geary Blvd.
,
"Embarcadero Freeway, which was featured in the film was demolished in 1989 because of structural damage from the 1989 Loma Prieta Earthquake)",Embarcadero Freeway
"In 1945 the Fairmont hosted the United Nations Conference on International Organization as delegates arrived to draft a charter for the organization. The U.S. Secretary of State, Edward Stettinius drafted the charter in the hotel's Garden Room.","Fairmont Hotel (950 Mason Street, Nob Hill)"
The San Francisco Zodiac Killer of the late 1960s sent his notes and letters to the Chronicle's offices.,San Francisco Chronicle (901 Mission Street at 15th Street)
,Broadway (North Beach)
,
Aerial shots,Conzelman Rd at McCollough Rd and down Conzelman Rd.
,Lombard at Hyde
,601 Buena Vista Ave West at Java St.
,420 Jones St. at Ellis St.
Driving shots,Broadway between Powell and Davis
Driving shots,Columbus between Bay and Washington
Driving shots,California between Kearney and Davis
Driving shots,Pine between Kearney and Davis
Driving shots,Market between Stuart and Van Ness
Driving shots,Grant between Bush and Broadway
Driving shots,Intersection of Broadway at Kearney
Driving shots,Intersection of California at Polk
Aerial and exterior shots,"Treasure Island, Building #1, Ave of the Palms"
VFX Plate Shots,490 Geary St
VFX Plate Shots,544 Jones
"VFX Plate Shots, chase scene",Missouri St at 18th St
VFX and B-roll Shots,Telegraph Hill/North Beach
VFX and B-roll Shots,Financial District
VFX and B-roll Shots,Russian Hill
Stunt scene involving car flip,Jones St btwn Sacramento and Pine
Stunt scene involving car flip,California St btwn Mason and Leavenworth
Stunt scene involving weaving car,Montgomery btwn Green and Pacific
VFX Plate Shots,Bush St at Mason St
Stunt driving scene,Lombard St btwn Polk and Leavenworth
Stunt scene involving car jump,Jones St btwn Green and Pacific
Stunt scene involving weaving car,Vallejo St btwn Montgomery and Davis
VFX Plate Shots,Java St
,Little Embarcadero btwn Powell and Mason
Location of film headquarters,Powell St btwn North Point and Embarcadero
,Pier 27
,Jefferson St at Taylor St
,Laguna St btwn Jackson and Broadway
Car stunt scene,Montgomery btwn Broadway and Pacific
,Geary St - Hyde St - Ellis St
,Saint Louis Alley at Jackson
,Leavenworth St at Lombard St
,"Westar Marine Services, Pier 50"
"On Jan. 25, 1878, the King Philip ship crashed in Ocean Beach. Occasionally, the ship's wreckage may be found on the beach-- most recently it was seen in 2007.",Ocean Beach
,75 California Street
Grace Cathedral Episcopal Church is the West Coast's largest Episcopalian cathedral.,Grace Cathedral Episcopal Church (1100 California Street)
,Hills Brothers Plaza (Embarcadero at Harrison Street)
SFO has a museum dedicated to aviation history.,San Francisco International Airport
,Dolores Park
,738 Washington St
,Waverly Place
,700 Block of Grant Ave.
,Fulton St at Larkin St
,Texas St at 19th St
,2751 Mission St
,Pier 7
,Palace of Fine Arts (3301 Lyon Street)
,Sutter St at Taylor St
,1653 Haight and 1400-1500 blocks of Haight St
,Bernal Heights Park
,"Castro Theatre, 429 Castro St."
,Steiner St at Fulton St
,San Francisco City Hall
,Civic Center Plaza
,Pier 5
SF Cable Cars are the only moving National Historical Landmark.,Hyde Street Cable Car
"The dome of SF's City Hall is almost a foot taller than that of the US Capitol Building. In 1954, Joe DiMaggio and Marilyn Monroe married at the Beaux Arts-style building.",City Hall
,Port of San Francisco
"This is SF's only drawbridge, and was named after Francis Joseph ""Lefty"" O'Doul, a local baseball hero.","Lefty O' Doul Drawbridge/ 3rd Street Bridge (3rd Street, China Basin)"
"With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.",Golden Gate Bridge
"Embarcadero Freeway, which was featured in the film, was demolished in 1989 because of structural damage from the 1989 Loma Prieta Earthquake)",Embarcadero Freeway
The most crooked street in San Francisco is actually Potrero Hill's Vermont Street between 20th St & 22nd St.,Potrero Hill
"The dome of SF's City Hall is almost a foot taller than that of the US Capitol Building. In 1954, Joe DiMaggio and Marilyn Monroe married at the Beaux Arts-style building.",City Hall
"First established in the mid-19th Century, SF's Chinatown is the oldest and largest Chinatown in the US.",Chinatown
,"Burger Island (901 3rd Street, China Basin)"
,Van Ness Avenue
,Taylor and Jefferson Streets (Fisherman's Wharf)
,
,"Fairmont Hotel (950 Mason Street, Nob Hill)"
,Embarcadero around Rincon Park
,San Remo Hotel (2237 Mason)
,"Huntington Park (California & Taylor Streets, Nob Hill)"
,Driving around Taylor/Pacific/Leavenworth
,California and Jones St.
,"Another Café, 1191 Pine St at Leavenworth"
,
,Yerba Buena Center for the Arts
"Built in 1939, the Terminal linked San Francisco, the East Bay, and Sacramento by rail for the first time.",Transbay Terminal (Mission Street at 1st Street)
,Tosca Café (242 Columbus Avenue)
"The Steinhart Aquarium is home to over 38,000 animals, which represent more than 900 species.","Steinhart Aquarium (California Academy of Sciences, Golden Gate Park)"
,Raw Hide II (280 Seventh Street)
,Pier 7 (The Embarcadero)
,Kearney Street (Telegraph Hill)
,Hall of Justice (850 Bryant Street)
,2930 Vallejo Street
"First established in the mid-19th Century, SF's Chinatown is the oldest and largest Chinatown in the US.",Chinatown
,Gibb Street (Chinatown)
,1158-70 Montgomery Street
,2104 Broadway
,
,Divisadero between Broadway and Greenwich
,Ohloff Recovery Center (601 Steiner St)
,Haight at Masonic
,Tenderloin Neighborhood
,"Olympic Flame Café, 555 Geary St"
,18th St at San Bruno Ave.
,Wisconsin between 19th and 20th St
,1155 Filbert Street at Hyde
,"Washington Square Park (Filbert, between Stockton and Powell)"
"Installed in 1975, the Vaillancourt Fountain is officially titled, ""Québec Libre!"". The night before the sculpture's inauguration, artist Armand Vaillancourt inscribed ""Québec libre!"" in red letters on the sculpture. The next day when he noticed that the note had been erased, Vaillancourt jumped on the statue to re-inscribe his message.",Vaillancourt Fountain (Justin Herman Plaza)
,Montgomery & Market Streets
"The dome of SF's City Hall is almost a foot taller than that of the US Capitol Building. In 1954, Joe DiMaggio and Marilyn Monroe married at the Beaux Arts-style building.",City Hall
,
"The dome of SF's City Hall is almost a foot taller than that of the US Capitol Building. In 1954, Joe DiMaggio and Marilyn Monroe married at the Beaux Arts-style building.",City Hall
"With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.",Golden Gate Bridge
"An artificial island, Treasure Island was created for the 1939 Golden Gate International Exposition, and is named after the novel by Robert Louis Stevenson, a one-time San Francisco resident.",Treasure Island
The 6 Victorian homes across from Alamo Square Park are among the few Victorians to survive the Great Fire.,"Postcard Row, Alamo Square, Hayes Valley"
Grace Cathedral Episcopal Church is the West Coast's largest Episcopalian cathedral.,Grace Cathedral Episcopal Church (1100 California Street)
,Nobles Alley
,Caffe Trieste
,Palace of Fine Arts
,1101 Filbert St.
,Saints Peter & Paul Church
,Green St. & Grant Ave.
,Filbert St. & Leavenworth
,Pine St. & Grant
,Way Faire Inn on Leidesdorff
,Harry's Bar on Fillmore
,"Tosca Café (242 Columbus Avenue, North Beach)"
,
Alcatraz Island was a military fort before it became a prison.,Alcatraz Island
,Pier 43 1/2
The character of Steve McKee was based on actor Steve McQueen who studied with Bruce Lee in the later 60's.,Lands End Trail at Eagles Point/ Lincoln Park Golf Course
