TITLE,LOCATIONS,RELEASE_YEAR
48 Hours,,1982
After the Thin Man,Coit Tower,1936
A Jitney Elopement,20th and Folsom Streets,1915
A Jitney Elopement,Golden Gate Park,1915
Alexander's Ragtime Band,Cliff House (1090 Point Lobos Avenue),1938
Alexander's Ragtime Band,San Francisco Bay,1938
Alexander's Ragtime Band,"Fairmont Hotel (950 Mason Street, Nob Hill)",1938
All About Eve,Curran Theater (445 Geary Street),1950
American Graffiti,"Mel's Drive-In (Corner of Van Ness & Mission Street, Mission District)",1973
American Graffiti,3355 Geary Blvd.,1973
A Night Full of Rain,Embarcadero Freeway,1978
A Night Full of Rain,"Fairmont Hotel (950 Mason Street, Nob Hill)",1978
A Night Full of Rain,San Francisco Chronicle (901 Mission Street at 15th Street),1978
A Night Full of Rain,Broadway (North Beach),1978
Another 48 Hours,,1990
Around the Fire,Ocean Beach,1998
A Smile Like Yours,75 California Street,1997
A Smile Like Yours,Grace Cathedral Episcopal Church (1100 California Street),1997
A Smile Like Yours,Hills Brothers Plaza (Embarcadero at Harrison Street),1997
A Smile Like Yours,San Francisco International Airport,1997
Attack of the Killer Tomatoes,Hyde Street Cable Car,1978
A View to a Kill,City Hall,1985
A View to a Kill,Port of San Francisco,1985
A View to a Kill,"Lefty O' Doul Drawbridge/ 3rd Street Bridge (3rd Street, China Basin)",1985
A View to a Kill,Golden Gate Bridge,1985
A View to a Kill,Embarcadero Freeway,1985
A View to a Kill,Potrero Hill,1985
A View to a Kill,City Hall,1985
A View to a Kill,Chinatown,1985
A View to a Kill,"Burger Island (901 3rd Street, China Basin)",1985
A View to a Kill,Van Ness Avenue,1985
A View to a Kill,Taylor and Jefferson Streets (Fisherman's Wharf),1985
Barbary Coast,,1935
Basic Instinct,Yerba Buena Center for the Arts,1992
Basic Instinct,Transbay Terminal (Mission Street at 1st Street),1992
Basic Instinct,Tosca Café (242 Columbus Avenue),1992
Basic Instinct,"Steinhart Aquarium (California Academy of Sciences, Golden Gate Park)",1992
Basic Instinct,Raw Hide II (280 Seventh Street),1992
Basic Instinct,Pier 7 (The Embarcadero),1992
Basic Instinct,Kearney Street (Telegraph Hill),1992
Basic Instinct,Hall of Justice (850 Bryant Street),1992
Basic Instinct,2930 Vallejo Street,1992
Basic Instinct,Chinatown,1992
Basic Instinct,Gibb Street (Chinatown),1992
Basic Instinct,1158-70 Montgomery Street,1992
Basic Instinct,2104 Broadway,1992
Beaches,,1988
Bedazzled,1155 Filbert Street at Hyde,2000
Bedazzled,"Washington Square Park (Filbert, between Stockton and Powell)",2000
Bedazzled,Vaillancourt Fountain (Justin Herman Plaza),2000
Bedazzled,Montgomery & Market Streets,2000
Bedazzled,City Hall,2000
Bicentennial Man,City Hall,1999
Bicentennial Man,Golden Gate Bridge,1999
Bicentennial Man,Treasure Island,1999
Bicentennial Man,"Postcard Row, Alamo Square, Hayes Valley",1999
Bicentennial Man,Grace Cathedral Episcopal Church (1100 California Street),1999
Big Trouble in Little China,,1986
Birdman of Alcatraz,Alcatraz Island,1962
Birdman of Alcatraz,Pier 43 1/2,1962
Boys and Girls,1122 Folsom Street,2000
Boys and Girls,"St. Peter & Paul's Church (666 Filbert Street, Washington Square)",2000
Boys and Girls,Golden Gate Bridge,2000
Boys and Girls,Fisherman's Wharf,2000
Boys and Girls,Ferry Building,2000
Boys and Girls,Coit Tower,2000
Boys and Girls,City Hall,2000
Boys and Girls,Lombard Street,2000
Boys and Girls,Chinatown,2000
Boys and Girls,Aquatic Park (Jefferson Street),2000
Boys and Girls,Alcatraz Island,2000
Boys and Girls,628 Cole Street,2000
Bullitt,Bayshore Blvd near Cesar Chavez (Bayview),1968
Bullitt,Taylor & Vallejo Streets (Russian Hill),1968
Bullitt,"SF General Hospital Center (1001 Potrero Avenue, Potrero Hill)",1968
Bullitt,McLaren Park (Visitacion  Valley),1968
Bullitt,Mark Hopkins Hotel (999 California Street),1968
Bullitt,Marina Green (Marina District),1968
Bullitt,Mansell & University Streets (Visitacion  Valley),1968
Bullitt,Larkin & Francisco Streets (Russian Hill),1968
Bullitt,Larkin & Chestnut Streets (Russian Hill),1968
Bullitt,Kennedy Hotel (226 Embarcadero at Howard Street),1968
Bullitt,John Muir Drive (Lake Merced),1968
Bullitt,Intersection of York & Peralta (Bernal Heights),1968
Bullitt,Filbert & Taylor Streets (Russian Hill),1968
Bullitt,Enrico's Café (504 Broadway),1968
Bullitt,Columbus & Lombard Streets (North Beach),1968
Bullitt,Cesar Chavez & Mission Street (Mission),1968
Bullitt,"Candlestick Park Exit, Highway 101",1968
Bullitt,Café Cantata (2040 Union Street),1968
Bullitt,Brocklebank Apartments (1000 Mason Street),1968
Bullitt,Bay Bridge,1968
Bullitt,2700 Vallejo Street (Pacific Heights),1968
Bullitt,20th & Vermont Streets (Potrero Hill),1968
Bullitt,1153-57 Taylor Street,1968
Burglar,California Academy of Sciences (Golden Gate Park),1987
Burglar,Green Valley Restaurant (510 Green Street Near Grant),1987
Burglar,1627 Haight Street,1987
Burglar,1400 18th Street,1987
Can't Stop the Music,101 Henry Adams Place,1980
Casualties of War,Mission Dolores Park (Mission District) via J-Church MUNI Train,1989
Chan is Missing,"Li Po (916 Grant Avenue at Washington, Chinatown)",1982
Chan is Missing,Golden Dragon Restaurant (816 Washington Street at Grant),1982
Chu Chu and the Philly Flash,Transbay Terminal (Mission Street at 1st Street),1981
Chu Chu and the Philly Flash,"Fairmont Hotel (950 Mason Street, Nob Hill)",1981
Chu Chu and the Philly Flash,22nd and Carolina Streets (Potrero Hill),1981
City of Angels,San Francisco Public Library Main Branch (100 Larkin Street),1998
Class Action,"Mission Dolores (3321 16th Street, Mission District)",1991
Class Action,City Hall,1991
Class Action,Bix Restaurant (56 Gold Street),1991
Common Threads: Stories From t,The Castro,1989
Copycat,Treasure Island,1995
Copycat,Twin Peaks,1995
Copycat,Sound Factory (1st and Harrison Streets),1995
Copycat,"Java House (Pier 40, Embarcadero)",1995
Copycat,Alta Plaza Park,1995
Copycat,82 & 67 Rico Way (Marina District),1995
Crackers,24th Street between Mission Street and Potrero Avenue,1984
Crackers,La Rondalla (Valencia and 20th Streets),1984
Dark Passage,Golden Gate Bridge,1947
Dark Passage,The Malloch Apartment Building (1360 Montgomery Street),1947
Dark Passage,"Filbert Steps, Filbert Street",1947
Days of Wine and Roses,,1962
Desperate Measures,,1998
Dim Sum: A Little Bit of Heart,San Francisco International Airport,1985
Dim Sum: A Little Bit of Heart,"Li Po (916 Grant Avenue at Washington, Chinatown)",1985
Dim Sum: A Little Bit of Heart,Chinatown,1985
Dirty Harry,"Marina Green, Marina District",1971
Dirty Harry,"Washington Square, North Beach",1971
Dirty Harry,The Embarcadero,1971
Dirty Harry,"St. Peter & Paul's Church (666 Filbert Street, Washington Square)",1971
Dirty Harry,San Francisco Drydock (20th and Illinois Streets),1971
Dirty Harry,Portsmouth Square (Chinatown),1971
Dirty Harry,"Mt. Davidson Cross, Mt. Davidson",1971
Dirty Harry,Mission Dolores Park (Mission District),1971
Dirty Harry,"Kezar Stadium, Golden Gate Park",1971
Dirty Harry,Holiday Inn Select Downtown Hotel (750 Kearney Street),1971
Dirty Harry,Hall of Justice (850 Bryant Street),1971
Dirty Harry,Forest Hill Station- MUNI,1971
Dirty Harry,Dante Building (1606 Stockton Street at Union),1971
Dirty Harry,"California Hall (625 Polk Street, Van Ness/Civic Center)",1971
Dirty Harry,Bank of America Building (555 California Street),1971
D.O.A,Powell & California Streets,1950
D.O.A,Southern Pacific Memorial Hospital (1400 Fell Street),1950
D.O.A,The Embarcadero/ Ferry Building,1950
D.O.A,Union Square,1950
D.O.A,Westin St. Francis Hotel (335 Powell Street),1950
D.O.A,Chambord Apartments (1298 Sacramento Street at Jones),1950
D.O.A,Mark Hopkins Intercontinental Hotel (1 Nob Hill Circle),1950
D.O.A,Market & Steuart Streets (Financial District),1950
D.O.A,Market Street (from 6th- 4th Streets),1950
Doctor Dolittle,Webster Street,1998
Doctor Dolittle,Telegraph Hill Blvd (Telegraph Hill),1998
Doctor Dolittle,Larkin & Hyde Streets,1998
Doctor Dolittle,Gabbiano's Restaurant (Ferry Building),1998
Doctor Dolittle,Coit Tower,1998
Doctor Dolittle,2107 Union Street,1998
Doctor Dolittle,2100 Green Street,1998
Down Periscope,,1996
Dream for an Insomniac,Baker Beach,1996
Dream for an Insomniac,Elbo Room (647 Valencia Street),1996
Dream with the Fishes,Pier 39,1997
Dream with the Fishes,Bay Bridge,1997
Dying Young,,1991
Edtv,Palace of Fine Arts (3301 Lyon Street),1999
Edtv,Moose's Restaurant (1652 Stockton),1999
Edtv,Mario's Bohemian Cigar Store (Washington Square),1999
Edtv,"Center for the Arts, Yerba Buena Gardens (701 Mission Street)",1999
Edtv,"Castro Theatre (429 Castro Street, The Castro)",1999
Edtv,20th & Connecticut Streets (Potrero Hill),1999
Edtv,19 Green Street (North Beach),1999
Edtv,1138 Filbert Street,1999
Edtv,North Beach Video (1398 Grant Avenue at Green),1999
Escape From Alcatraz,Alcatraz Island,1979
Experiment in Terror,George Washington High School (600 32nd Avenue ),1962
Experiment in Terror,"Wells Fargo Bank (1 California Street, Financial District)",1962
Experiment in Terror,The Sea Captain's Chest (Fisherman's Wharf),1962
Experiment in Terror,"Sheraton Palace Hotel (2 Montgomery Street, Financial District)",1962
Experiment in Terror,Roaring Twenties Nightclub (555 Broadway at Columbus),1962
Experiment in Terror,Candlestick Park,1962
Experiment in Terror,2632 Larkin Street at Lombard,1962
Experiment in Terror,100 St. Germain Avenue,1962
Experiment in Terror,1 Montgomery Street at Post,1962
Faces of Death,,1978
Family Plot,Grace Cathedral Episcopal Church (1100 California Street),1976
Family Plot,"Fairmont Hotel (950 Mason Street, Nob Hill)",1976
Family Plot,2230 Sacramento Street,1976
Family Plot,Nob Hill,1976
Fathers' Day,,1997
Fat Man and Little Boy,"Postcard Row (Alamo Square, Hayes Valley)",1989
Fearless,400 Montgomery Street,1993
Fearless,Folsom Street & Embarcadero,1993
Fearless,Varennes Alley between Filbert and Union,1993
Fearless,"St. Peter & Paul's Church (666 Filbert Street, Washington Square)",1993
Fearless,"San Francisco General Hospital Medical Center (1001 Potrero Avenue, Po",1993
Fearless,Kohl Building (400 Montgomery Street),1993
Fearless,Bank of America Building (555 California Street),1993
Fearless,90 Gold Street,1993
Fearless,5th and Beale Streets,1993
Final Analysis,"Westin St. Francis Hotel (335 Powell Street, Union Square)",1992
Final Analysis,"Public Health Service Hospital (Presidio, Golden Gate National Recreat",1992
Final Analysis,"Presidio, Golden Gate National Recreation Area",1992
Final Analysis,City Hall,1992
Final Analysis,Bix Restaurant (56 Gold Street),1992
Flower Drum Song,Golden Gate Bridge,1961
Flower Drum Song,Chinatown,1961
Flubber,Treasure Island,1997
Forrest Gump,Palace of Fine Arts (3301 Lyon Street),1994
Foul Play,War Memorial Opera House (401 Van Ness Avenue),1978
Foul Play,Sutter & Buchannan Streets,1978
Foul Play,Sutter & Baker Streets,1978
Foul Play,Sokoji-Soto Zen Buddhist Temple (1691 Laguna Street),1978
Foul Play,Sacramento & Hyde Streets (Nob Hill),1978
Foul Play,"Postcard Row (Alamo Square, Hayes Valley)",1978
Foul Play,Potrero Hill Bathhouse & Feed Co. (199 Mississippi Street),1978
Foul Play,Octavia & Hayes Streets (Hayes Valley),1978
Foul Play,Montgomery & Pine Streets (Financial District),1978
Foul Play,Laguna & Sacramento Streets (Pacific Heights),1978
Foul Play,"Hayes Valley Care (601 Laguna Street, Hayes Valley)",1978
Foul Play,Golden Gate & Steiner Streets (Hayes Valley),1978
Foul Play,"Fort Point, Presidio",1978
Foul Play,Fort Mason (Golden Gate National Recreation Area),1978
Foul Play,Flood Building (870 Market Street),1978
Foul Play,"Fiesta Laundromat (898 S. Van Ness Ave., Mission)",1978
Foul Play,City Hall,1978
Foul Play,California & Larkin Streets (Nob Hill),1978
Foul Play,"Asian Art Museum (200 Larkin Street, Civic Center)",1978
Foul Play,Andrew S. Hallidie Plaza (Market & Powell Streets),1978
Foul Play,430 Vallejo Street (Telegraph Hill),1978
Foul Play,24th and Castro Streets (Noe Valley),1978
Freebie and the Bean,Alco Plaza,1974
Freebie and the Bean,Twin Peaks,1974
Freebie and the Bean,TransAmerica Pyramid (600 Montgomery Street),1974
