TITLE,PRODUCTION_COMPANY,LOCATIONS,RELEASE_YEAR
180,SPI Cinemas,Epic Roasthouse (399 Embarcadero),2011
180,SPI Cinemas,Mason & California Streets (Nob Hill),2011
180,SPI Cinemas,Justin Herman Plaza,2011
180,SPI Cinemas,200 block Market Street,2011
180,SPI Cinemas,City Hall,2011
180,SPI Cinemas,Polk & Larkin Streets,2011
180,SPI Cinemas,Randall Museum,2011
180,SPI Cinemas,555 Market St.,2011
24 Hours on Craigslist,Yerba Buena Productions,,2005
40 Days and 40 Nights,Miramax Films,"The Walden House, Buena Vista Park",2002
40 Days and 40 Nights,Miramax Films,Café Trieste (609 Vallejo),2002
48 Hours,Paramount Pictures,,1982
50 First Dates,Columbia Pictures Corporation,Rainforest Café (145 Jefferson Street),2004
About a Boy,NBC Studios,Broderick from Fulton to McAlister,2014
About a Boy,NBC Studios,Crissy Field,2014
About a Boy,NBC Studios,Powell from Bush and Sutter,2014
After the Thin Man,Metro-Goldwyn Mayer,Coit Tower,1936
Age of Adaline,Lionsgate / Sidney Kimmel Entertainment / Lakeshore Entertainment,Pier 50- end of the pier,2015
Age of Adaline,Lionsgate / Sidney Kimmel Entertainment / Lakeshore Entertainment,California @ Montgomery,2015
Age of Adaline,Lionsgate / Sidney Kimmel Entertainment / Lakeshore Entertainment,Montgomery/Green,2015
Age of Adaline,Lionsgate / Sidney Kimmel Entertainment / Lakeshore Entertainment,Driving various SF Streets,2015
Age of Adaline,Lionsgate / Sidney Kimmel Entertainment / Lakeshore Entertainment,Plate Shots SF streets various,2015
A Jitney Elopement,The Essanay Film Manufacturing Company,20th and Folsom Streets,1915
A Jitney Elopement,The Essanay Film Manufacturing Company,Golden Gate Park,1915
Alcatraz,Bonanza Productions Inc.,Filbert St. from Jones to Mason,2012
Alcatraz,Bonanza Productions Inc.,Leavenworth from Filbert & Francisco St,2012
Alcatraz,Bonanza Productions Inc.,Chestnut St. from Larkin to Columbus,2012
Alcatraz,Bonanza Productions Inc.,Francisco St from Larkin to Polk,2012
Alcatraz,Bonanza Productions Inc.,Broadway from Mason to Taylor,2012
Alcatraz,Bonanza Productions Inc.,Taylor St. from Broadway to Filbert,2012
Alexander's Ragtime Band,Twentieth Century Fox Film Corporation,Cliff House (1090 Point Lobos Avenue),1938
Alexander's Ragtime Band,Twentieth Century Fox Film Corporation,San Francisco Bay,1938
Alexander's Ragtime Band,Twentieth Century Fox Film Corporation,"Fairmont Hotel (950 Mason Street, Nob Hill)",1938
Alive,CBS Corporation - CBS Studios Inc./CBS Television Studios,Embarcadero near Pier 14,2020
Alive,CBS Corporation - CBS Studios Inc./CBS Television Studios,Palace of Fine Arts,2020
Alive,CBS Corporation - CBS Studios Inc./CBS Television Studios,543 Connecticut,2020
Alive,CBS Corporation - CBS Studios Inc./CBS Television Studios,Connecticut at 19th St,2020
Alive,CBS Corporation - CBS Studios Inc./CBS Television Studios,Pennsylvania at 23rd St,2020
All About Eve,Twentieth Century Fox Film Corp.,Curran Theater (445 Geary Street),1950
Always Be My Maybe,"Isla Productions, LLC",Golden Gate Music Concourse,2019
Always Be My Maybe,"Isla Productions, LLC",de Young Museum/Golden Gate Park,2019
Always Be My Maybe,"Isla Productions, LLC",Heart of the City Farmers Market at UN Plaza,2019
Always Be My Maybe,"Isla Productions, LLC",Palace of Fine Arts (3301 Lyon Street),2019
Always Be My Maybe,"Isla Productions, LLC",717 Grant Ave,2019
Always Be My Maybe,"Isla Productions, LLC",Kearny btwn Columbus and Washington,2019
Always Be My Maybe,"Isla Productions, LLC","Fort Point (Presidio, Golden Gate National Recreation Area)",2019
Always Be My Maybe,"Isla Productions, LLC",California Cable Car Line,2019
Always Be My Maybe,"Isla Productions, LLC",Haight St at Masonic,2019
Always Be My Maybe,"Isla Productions, LLC","Trax Bar, Haight St",2019
Always Be My Maybe,"Isla Productions, LLC",Pier 7,2019
Always Be My Maybe,"Isla Productions, LLC",Pier 45 - Musee Mechanique,2019
Always Be My Maybe,"Isla Productions, LLC",19th Ave Home,2019
Always Be My Maybe,"Isla Productions, LLC",22nd Ave Home,2019
Always Be My Maybe,"Isla Productions, LLC",Contemporary Jewish Museum,2019
Always Be My Maybe,"Isla Productions, LLC",Fairmont Hotel - Penthouse Suite,2019
Always Be My Maybe,"Isla Productions, LLC",26th Ave and El Camino Del mar,2019
Americana,Sutro Films LLC,St. Francis Episcopal Church (399 San Fernando Way),2015
Americana,Sutro Films LLC,Romolo Place @ Fresno St.,2015
Americana,Sutro Films LLC,Palace of Fine Arts,2015
Americana,Sutro Films LLC,John Shelley Drive John McLaren Park,2015
Americana,Sutro Films LLC,Treasure Island,2015
Americana,Sutro Films LLC,The San Francisco School (300 Gavin St.),2015
Americana,Sutro Films LLC,33 Spruce St,2015
Americana,Sutro Films LLC,Coi Restaurant (373 Broadway),2015
Americana,Sutro Films LLC,Foreign Cinema (2534 Mission),2015
Americana,Sutro Films LLC,Bernal Heights Park,2015
Americana,Sutro Films LLC,Jackson St. at Spruce,2015
Americana,Sutro Films LLC,679 Madrid St,2015
Americana,Sutro Films LLC,Roxie Theater (3117 16th St.),2015
Americana,Sutro Films LLC,Variety Preview Room (582 Market St.),2015
Americana,Sutro Films LLC,Laguna Honda Hospital; 375 Laguna Honda Blvd.,2015
Americana,Sutro Films LLC,3232 Jackson Ave.,2015
Americana,Sutro Films LLC,20th St and Illinois/Faxon St. and Kenwood/Glenbrook at Mt. Springs,2015
American Graffiti,Universal Pictures,"Mel's Drive-In (Corner of Van Ness & Mission Street, Mission District)",1973
American Graffiti,Universal Pictures,3355 Geary Blvd.,1973
American Yearbook,All Planet Studios,,2004
A Night Full of Rain,Liberty Film,Embarcadero Freeway,1978
A Night Full of Rain,Liberty Film,"Fairmont Hotel (950 Mason Street, Nob Hill)",1978
A Night Full of Rain,Liberty Film,San Francisco Chronicle (901 Mission Street at 15th Street),1978
A Night Full of Rain,Liberty Film,Broadway (North Beach),1978
Another 48 Hours,Eddie Murphy Productions,,1990
Ant-Man,"PYM Particles Productions, LLC",Conzelman Rd at McCollough Rd and down Conzelman Rd.,2015
Ant-Man,"PYM Particles Productions, LLC",Lombard at Hyde,2015
Ant-Man,"PYM Particles Productions, LLC",601 Buena Vista Ave West at Java St.,2015
Ant-Man,"PYM Particles Productions, LLC",420 Jones St. at Ellis St.,2015
Ant-Man,"PYM Particles Productions, LLC",Broadway between Powell and Davis,2015
Ant-Man,"PYM Particles Productions, LLC",Columbus between Bay and Washington,2015
Ant-Man,"PYM Particles Productions, LLC",California between Kearney and Davis,2015
Ant-Man,"PYM Particles Productions, LLC",Pine between Kearney and Davis,2015
Ant-Man,"PYM Particles Productions, LLC",Market between Stuart and Van Ness,2015
Ant-Man,"PYM Particles Productions, LLC",Grant between Bush and Broadway,2015
Ant-Man,"PYM Particles Productions, LLC",Intersection of Broadway at Kearney,2015
Ant-Man,"PYM Particles Productions, LLC",Intersection of California at Polk,2015
Ant-Man,"PYM Particles Productions, LLC","Treasure Island, Building #1, Ave of the Palms",2015
Ant-Man and the Wasp,"PYM Particles Productions II, LLC",490 Geary St,2018
Ant-Man and the Wasp,"PYM Particles Productions II, LLC",544 Jones,2018
Ant-Man and the Wasp,"PYM Particles Productions II, LLC",Missouri St at 18th St,2018
Ant-Man and the Wasp,"PYM Particles Productions II, LLC",Telegraph Hill/North Beach,2018
Ant-Man and the Wasp,"PYM Particles Productions II, LLC",Financial District,2018
Ant-Man and the Wasp,"PYM Particles Productions II, LLC",Russian Hill,2018
Ant-Man and the Wasp,"PYM Particles Productions II, LLC",Jones St btwn Sacramento and Pine,2018
Ant-Man and the Wasp,"PYM Particles Productions II, LLC",California St btwn Mason and Leavenworth,2018
Ant-Man and the Wasp,"PYM Particles Productions II, LLC",Montgomery btwn Green and Pacific,2018
Ant-Man and the Wasp,"PYM Particles Productions II, LLC",Bush St at Mason St,2018
Ant-Man and the Wasp,"PYM Particles Productions II, LLC",Lombard St btwn Polk and Leavenworth,2018
Ant-Man and the Wasp,"PYM Particles Productions II, LLC",Jones St btwn Green and Pacific,2018
Ant-Man and the Wasp,"PYM Particles Productions II, LLC",Vallejo St btwn Montgomery and Davis,2018
Ant-Man and the Wasp,"PYM Particles Productions II, LLC",Java St,2018
Ant-Man and the Wasp,"PYM Particles Productions II, LLC",Little Embarcadero btwn Powell and Mason,2018
Ant-Man and the Wasp,"PYM Particles Productions II, LLC",Powell St btwn North Point and Embarcadero,2018
Ant-Man and the Wasp,"PYM Particles Productions II, LLC",Pier 27,2018
Ant-Man and the Wasp,"PYM Particles Productions II, LLC",Jefferson St at Taylor St,2018
Ant-Man and the Wasp,"PYM Particles Productions II, LLC",Laguna St btwn Jackson and Broadway,2018
Ant-Man and the Wasp,"PYM Particles Productions II, LLC",Montgomery btwn Broadway and Pacific,2018
Ant-Man and the Wasp,"PYM Particles Productions II, LLC",Geary St - Hyde St - Ellis St,2018
Ant-Man and the Wasp,"PYM Particles Productions II, LLC",Saint Louis Alley at Jackson,2018
Ant-Man and the Wasp,"PYM Particles Productions II, LLC",Leavenworth St at Lombard St,2018
Ant-Man and the Wasp,"PYM Particles Productions II, LLC","Westar Marine Services, Pier 50",2018
Around the Fire,Paradigm Studio,Ocean Beach,1998
A Smile Like Yours,Paramount Pictures,75 California Street,1997
A Smile Like Yours,Paramount Pictures,Grace Cathedral Episcopal Church (1100 California Street),1997
A Smile Like Yours,Paramount Pictures,Hills Brothers Plaza (Embarcadero at Harrison Street),1997
A Smile Like Yours,Paramount Pictures,San Francisco International Airport,1997
A Taiwanese Tale of Two Cities,Envision Productions Inc.,Dolores Park,2018
A Taiwanese Tale of Two Cities,Envision Productions Inc.,738 Washington St,2018
A Taiwanese Tale of Two Cities,Envision Productions Inc.,Waverly Place,2018
A Taiwanese Tale of Two Cities,Envision Productions Inc.,700 Block of Grant Ave.,2018
A Taiwanese Tale of Two Cities,Envision Productions Inc.,Fulton St at Larkin St,2018
A Taiwanese Tale of Two Cities,Envision Productions Inc.,Texas St at 19th St,2018
A Taiwanese Tale of Two Cities,Envision Productions Inc.,2751 Mission St,2018
A Taiwanese Tale of Two Cities,Envision Productions Inc.,Pier 7,2018
A Taiwanese Tale of Two Cities,Envision Productions Inc.,Palace of Fine Arts (3301 Lyon Street),2018
A Taiwanese Tale of Two Cities,Envision Productions Inc.,Sutter St at Taylor St,2018
